Sale_ID,Date,Store_ID,Product_ID,Units
707914,2018-07-07,16,7,1
44788,2017-02-15,16,33,1
111895,2017-04-20,6,6,1
122566,2017-04-29,14,18,1
457020,2018-01-27,15,30,1
676349,2018-06-17,17,19,1
489526,2018-02-18,13,18,1
76712,2017-03-18,8,17,1
378838,2017-12-04,4,30,1
315958,2017-10-17,12,13,1
1120,2017-01-01,5,8,1
309215,2017-10-12,18,30,1
451062,2018-01-22,7,24,1
357881,2017-11-19,10,18,1
786466,2018-08-31,8,11,1
714891,2018-07-11,13,8,1
179677,2017-06-15,17,18,3
397811,2017-12-17,10,23,1
374836,2017-12-02,6,19,2
782957,2018-08-28,14,24,1
